person_id,person_name,party_id,party_name,term_id
psp:person:6433,Ivan Bartoš,psp:org:1290,Česká pirátská strana,psp:org:174
psp:person:6732,Ivana Mádlová,psp:org:1104,ANO2011,psp:org:174
psp:person:6459,Jakub Janda,psp:org:1533,Spolu,psp:org:174
psp:person:7015,Jakub Krainer,psp:org:1289,Starostove a nezavisli,psp:org:174
psp:person:6178,Jan Bartošek,psp:org:1533,Spolu,psp:org:174
psp:person:5379,Jan Bauer,psp:org:1533,Spolu,psp:org:174
psp:person:6722,Jan Berki,psp:org:1289,Starostove a nezavisli,psp:org:174
psp:person:5899,Jan Bureš,psp:org:1533,Spolu,psp:org:174
psp:person:6455,Jan Hrnčíř,psp:org:1291,Svoboda a prima demokracie - Tomio Okamura,psp:org:174
psp:person:6687,Jan Jakob,psp:org:1533,Spolu,psp:org:174
psp:person:6537,Jan Lipavský,psp:org:1533,Spolu,psp:org:174
psp:person:7030,Jan Papajanovský,psp:org:1289,Starostove a nezavisli,psp:org:174
psp:person:6500,Jan Richter,psp:org:1104,ANO2011,psp:org:174
psp:person:6418,Jan Skopeček,psp:org:1533,Spolu,psp:org:174
psp:person:7050,Jan Sviták,psp:org:1289,Starostove a nezavisli,psp:org:174
psp:person:6783,Jan Síla,psp:org:1291,Svoboda a prima demokracie - Tomio Okamura,psp:org:174
psp:person:6719,Jana Bačíková,psp:org:1533,Spolu,psp:org:174
psp:person:6723,Jana Berkovcová,psp:org:1104,ANO2011,psp:org:174
psp:person:7068,Jana Demjanová,psp:org:1104,ANO2011,psp:org:174
psp:person:7004,Jana Filipovičová,psp:org:1533,Spolu,psp:org:174
psp:person:6753,Jana Hanzlíková,psp:org:1104,ANO2011,psp:org:174
psp:person:6466,Jana Krutáková,psp:org:1289,Starostove a nezavisli,psp:org:174
psp:person:7025,Jana Murová,psp:org:1104,ANO2011,psp:org:174
psp:person:6225,Jana Pastuchová,psp:org:1104,ANO2011,psp:org:174
psp:person:7032,Jana Patková,psp:org:1290,Česká pirátská strana,psp:org:174
psp:person:5903,Jana Černochová,psp:org:1533,Spolu,psp:org:174
psp:person:6190,Jaroslav Faltýnek,psp:org:1104,ANO2011,psp:org:174
psp:person:5911,Jaroslav Foldyna,psp:org:1291,Svoboda a prima demokracie - Tomio Okamura,psp:org:174
psp:person:7037,Jindřich Rajchl,psp:org:1291,Svoboda a prima demokracie - Tomio Okamura,psp:org:174
psp:person:7056,Jitka Volfová,psp:org:1104,ANO2011,psp:org:174
psp:person:7009,Jiřina Klčová,psp:org:1104,ANO2011,psp:org:174
psp:person:6987,Jiří Barták,psp:org:1744,Motoristé sobě,psp:org:174
psp:person:6993,Jiří Bouška,psp:org:1104,ANO2011,psp:org:174
psp:person:6755,Jiří Havránek,psp:org:1533,Spolu,psp:org:174
psp:person:6803,Jiří Horák,psp:org:1533,Spolu,psp:org:174
psp:person:6534,Jiří Mašek,psp:org:1104,ANO2011,psp:org:174
psp:person:7067,Jiří Penc,psp:org:1104,ANO2011,psp:org:174
psp:person:5273,Jiří Pospíšil,psp:org:1533,Spolu,psp:org:174
psp:person:6515,Jiří Strýček,psp:org:1104,ANO2011,psp:org:174
psp:person:7033,Jiří Svoboda,psp:org:1104,ANO2011,psp:org:174
psp:person:7055,Jiří Vojáček,psp:org:1533,Spolu,psp:org:174
psp:person:6750,Josef Flek,psp:org:1289,Starostove a nezavisli,psp:org:174
psp:person:6246,Josef Kott,psp:org:1104,ANO2011,psp:org:174
psp:person:6946,Josef Váňa,psp:org:1104,ANO2011,psp:org:174
psp:person:7044,Julie Smejkalová,psp:org:1289,Starostove a nezavisli,psp:org:174
